track_name,album_name,energy,valence,reading_grade,syllable_density,lexical_diversity,bridge_shift,thematic_dna,energy_is_predicted,valence_is_predicted,cluster_id,umap_x,umap_y,top_driver,archetype_name,archetype_desc,symbol
Change (Taylor's Version),Fearless (TV),0.815,0.344,3.0787184873949585,1.2610294117647058,0.4852941176470588,0.6720999999999999,"hallelujah, sing, revolution, fight, walls",False,False,2,4.3455753,5.5959287,lexical_diversity,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",cross
Jump Then Fall (Taylor's Version),Fearless (TV),0.69,0.624,1.131192553810358,1.1832460732984293,0.32460732984293195,-1.1979,"shine, catch, gonna, woah, sound",False,False,3,-0.7425041,7.763564,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
Untouchable (Taylor's Version),Fearless (TV),0.531,0.224,1.7760606060606072,1.1742424242424243,0.19444444444444445,-0.5994,"spellin, gotta, million, middle, dream",False,False,0,1.5906126,5.141818,lexical_diversity,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross
Forever & Always (Piano Version) [Taylor's Version],Fearless (TV),0.273,0.271,1.7956513062409307,1.2139423076923077,0.30528846153846156,-0.8458,"rains, everythin, bedroom, feel, hasn",False,False,4,1.4113798,4.648844,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross
Come In With The Rain (Taylor's Version),Fearless (TV),0.564,0.167,0.43070573320186156,1.1135371179039302,0.37117903930131,-1.2216,"hopin, open, tired, anymore, window",False,False,0,-0.69857085,5.4238324,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross
SuperStar (Taylor's Version),Fearless (TV),0.555,0.171,1.6469785575048732,1.2259259259259259,0.4148148148148148,1.1063999999999998,"special, photograph, desperately, dim, spotlight",False,False,4,2.3037,4.014924,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross
The Other Side Of The Door (Taylor's Version),Fearless (TV),0.873,0.629,1.2695539879394708,1.1657754010695187,0.4144385026737968,0.6504,"pourin, leave, pebbles, throwin, window",False,False,3,1.5996382,9.013044,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
Today Was A Fairytale (Taylor's Version),Fearless (TV),0.779,0.328,1.4043281653746789,1.2296511627906976,0.27906976744186046,-0.3745,"kissed, slows, magic, standing, air",False,False,3,2.0025382,7.236467,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
You All Over Me (Taylor's Version) [From The Vault],Fearless (TV),0.494,0.44,0.7106484641638247,1.1331058020477816,0.4402730375426621,-0.9455,"held, reminds, freedom, got, learned",False,False,1,-0.12200729,5.6421795,energy,Fountain Pen,Modern Confessional (Specific Storytelling),cross
Mr. Perfectly Fine (Taylor's Version) [From The Vault],Fearless (TV),0.817,0.714,3.599423186750432,1.3592233009708738,0.4174757281553398,1.3763,"hello, revolves, misery, casually, goodbye",False,False,2,3.7672184,7.6833515,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",cross
We Were Happy (Taylor's Version) [From The Vault],Fearless (TV),0.373,0.13,0.6539861751152074,1.1814516129032258,0.39919354838709675,-1.6589999999999998,"farm, laughed, talkin, showed, bout",False,False,1,-0.12359343,5.0859447,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),cross
That's When (Taylor's Version) [From The Vault],Fearless (TV),0.608,0.508,-0.16981840357771816,1.085987261146497,0.3089171974522293,1.2551999999999999,"stormin, sunny, gate, cryin, laughin",False,False,0,-2.0643091,6.183024,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross
Don't You (Taylor's Version) [From The Vault],Fearless (TV),0.473,0.405,0.2137844611528834,1.0701754385964912,0.3991228070175439,0.15889999999999999,"missed, ask, feel, stare, swore",False,False,0,-0.6916891,5.8137975,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross
Bye Bye Baby (Taylor's Version) [From The Vault],Fearless (TV),0.624,0.527,1.2468066083576268,1.1749271137026238,0.31486880466472306,-1.5652,"sympathy, thought, took, couldn, just",False,False,3,-0.79275143,7.406593,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
Mine,Speak Now,0.757,0.658,2.0827868168544015,1.2107843137254901,0.39705882352941174,0.27649999999999997,"yes, careful, careless, rebel, hold",False,False,3,2.3046563,8.3923235,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
Sparks Fly,Speak Now,0.787,0.374,2.3914063992359154,1.2034383954154728,0.37249283667621774,-0.30500000000000005,"sidewalk, haunt, pouring, drop, green",False,False,3,2.5766246,6.949163,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
Back To December,Speak Now,0.67,0.286,1.8271056603773594,1.195754716981132,0.35141509433962265,-0.03590000000000004,"realized, swallowing, wishin, missin, freedom",False,False,3,2.213527,6.7582655,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
Dear John,Speak Now,0.47,0.102,0.8027659574468089,1.1303191489361701,0.449468085106383,-0.4491,"young, messed, known, cried, gone",False,False,1,-0.14480498,5.003877,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),hexagon
Mean,Speak Now,0.761,0.789,1.5944863315696658,1.217283950617284,0.3333333333333333,0.04910000000000003,"big, someday, gotta, ole, livin",False,False,3,-0.33235794,8.911105,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
The Story Of Us,Speak Now,0.818,0.683,1.3179778270509992,1.1618625277161863,0.352549889135255,0.1593,"killin, speakin, dyin, twist, tragedy",False,False,3,0.15962505,8.953898,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
Never Grow Up,Speak Now,0.305,0.554,1.9131171171171175,1.2387387387387387,0.35585585585585583,0.6395,"darling, grown, simple, just, tuck",False,False,4,3.3063421,4.2603483,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon
Enchanted,Speak Now,0.623,0.208,2.219189081929624,1.2864450127877238,0.37084398976982097,-0.23749999999999993,"meet, wonderstruck, wonderin, spend, blushin",False,False,2,3.4401886,5.943626,syllable_density,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",hexagon
Better Than Revenge,Speak Now,0.917,0.635,2.3686356668369974,1.2233009708737863,0.35145631067961164,0.0952,"woah, stealing, mattress, applause, playground",False,False,3,2.4424877,8.331247,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
Innocent,Speak Now,0.608,0.17,1.8194694317263682,1.2531645569620253,0.40822784810126583,0.5664,"wasn, alright, bright, balance, thirty",False,False,4,2.6515758,4.940308,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon
Haunted,Speak Now,0.95,0.352,0.7978187796857874,1.1801242236024845,0.33229813664596275,0.7263000000000001,"figured, thought, gone, terribly, leave",False,False,3,1.5925858,9.344524,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
Last Kiss,Speak Now,0.341,0.196,1.3596551724137953,1.1625615763546797,0.3669950738916256,-0.09149999999999991,"lips, imagined, wearing, sit, clothes",False,False,4,0.94239676,4.214881,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon
Long Live,Speak Now,0.68,0.142,1.1246218272255142,1.18140589569161,0.3786848072562358,1.6073,"pretenders, bring, crashed, screaming, remembered",False,False,4,1.9833055,3.3576393,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon
Ours,Speak Now,0.569,0.238,1.447046979865771,1.191275167785235,0.4463087248322148,0.05249999999999999,"worry, rocks, throw, stakes, rough",False,False,1,1.4746422,5.9962506,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),hexagon
If This Was A Movie,Speak Now,0.719,0.289,1.2649243321489685,1.138702460850112,0.319910514541387,-0.1926,"work, stand, came, til, ending",False,False,0,0.8218156,8.910191,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",hexagon
Superman,Speak Now,0.765,0.559,1.5751179883945845,1.2287234042553192,0.34308510638297873,-0.06980000000000008,"save, watch, away, forget, someday",False,False,3,2.2659261,8.218179,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon
State Of Grace,Red,0.825,0.397,1.2298918621700885,1.1906158357771262,0.3519061583577713,0.7061999999999999,"coming, saw, worthwhile, mosaic, ruthless",False,False,3,1.6015044,9.33209,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
Red,Red,0.896,0.641,3.389304347826087,1.3043478260869565,0.40372670807453415,-0.9881,"loving, burning, forgetting, missing, losing",False,False,2,4.7513185,6.742595,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",triangle-down
Treacherous,Red,0.621,0.395,0.9998375812093947,1.2183908045977012,0.3831417624521073,-1.0604,"follow, slope, echoed, path, sleepless",False,False,3,0.15073246,7.07377,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
I Knew You Were Trouble,Red,0.469,0.679,1.3250908521303266,1.1979949874686717,0.2832080200501253,-0.6716,"walked, flew, shame, ing, drowning",False,False,3,-0.8446845,8.321492,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
All Too Well,Red,0.609,0.337,1.9038370118845513,1.2129032258064516,0.42795698924731185,-0.09870000000000001,"remember, bout, scarf, cause, maybe",False,False,1,1.7328694,6.211879,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),triangle-down
22,Red,0.729,0.668,1.984328358208959,1.291044776119403,0.3009950248756219,-0.1914999999999999,"nights, feels, alright, gotta, ditch",False,False,3,3.1525257,7.8768935,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
I Almost Do,Red,0.481,0.233,1.5117338834450749,1.187725631768953,0.33935018050541516,1.3611,"hope, takes, chair, sittin, week",False,False,4,1.9680415,3.6592982,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),triangle-down
We Are Never Ever Getting Back Together,Red,0.676,0.75,3.4239473684210537,1.2973684210526315,0.34210526315789475,0.3896,"friends, telling, called, used, remember",False,False,2,3.7104514,7.6476336,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",triangle-down
Stay Stay Stay,Red,0.748,0.928,1.1410139267555834,1.151057401812689,0.3564954682779456,-0.12080000000000002,"loving, quite, funny, took, helmet",False,False,3,-0.60711646,8.949156,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
The Last Time,Red,0.443,0.123,0.8840178571428581,1.1216814159292035,0.252212389380531,-0.7483,"asking, eye, list, blink, break",False,False,0,-1.0245022,5.473298,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",triangle-down
Holy Ground,Red,0.816,0.648,1.2622476544807526,1.217081850533808,0.4412811387900356,-0.04760000000000009,"dance, tonight, looking, stood, wanna",False,False,3,1.9784981,8.6553955,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
Sad Beautiful Tragic,Red,0.34,0.261,3.304347826086957,1.3478260869565217,0.5163043478260869,-0.8713,"magic, affair, tracks, try, cities",False,False,2,4.456374,4.912006,lexical_diversity,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",triangle-down
The Lucky One,Red,0.499,0.545,1.7757485029940128,1.188622754491018,0.38323353293413176,-0.8322,"loves, lights, everybody, pretty, let",False,False,3,0.7367515,7.1527257,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
Everything Has Changed,Red,0.458,0.436,1.197314986600702,1.2018140589569162,0.2471655328798186,-0.6727,"wanna, yesterday, hello, just, making",False,False,3,0.04867999,6.63995,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
Starlight,Red,0.777,0.587,2.0746178861788636,1.2560975609756098,0.34146341463414637,0.1473,"nines, tune, marvelous, impossible, dream",False,False,3,2.6946802,8.150202,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
Begin Again,Red,0.526,0.323,1.5652633136094671,1.1745562130177514,0.378698224852071,0.026599999999999985,"wednesday, spending, watched, strange, months",False,False,4,1.4178029,5.7210693,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),triangle-down
The Moment I Knew,Red,0.506,0.275,1.3271490704009956,1.2478134110787171,0.41690962099125367,-0.031899999999999984,"missing, standing, impress, motion, lipstick",False,False,4,1.9845846,5.9236584,syllable_density,Standard Pop,Radio-Ready (Mid-Range Baseline Production),triangle-down
Come Back...Be Here,Red,0.548,0.217,0.6948515916260405,1.1419558359621451,0.35962145110410093,-0.5794,"wanna, sinks, feeling, guess, falling",False,False,0,-0.674136,5.4179525,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",triangle-down
Girl At Home,Red,0.59,0.633,2.8942610187384545,1.3087885985748218,0.2684085510688836,-1.679,"everybody, got, proposition, number, cab",False,False,2,4.270189,7.0551353,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",triangle-down
Treacherous (Original Demo Recording),Red,0.64,0.519,0.8415926948396688,1.2129963898916967,0.3574007220216607,-0.8358,"follow, slope, echoed, path, sleepless",False,False,3,-0.1370315,7.3423705,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down
Red (Original Demo Recording),Red,0.902,0.637,3.046293859649122,1.343859649122807,0.4421052631578947,-0.9805,"loving, burning, grey, forgetting, missing",False,False,2,4.7293186,6.5839167,syllable_density,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",triangle-down
State Of Grace (Acoustic Version),Red,0.118,0.0682,0.7047077922077918,1.1688311688311688,0.4588744588744589,0.7061999999999999,"coming, saw, worthwhile, ruthless, unless",False,False,4,0.96259975,3.9868264,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),triangle-down
State Of Grace (Taylor's Version),Red (TV),0.713,0.328,0.664227272727274,1.170909090909091,0.41454545454545455,0.7061999999999999,"comin, saw, ruthless, mosaic, worthwhile",False,False,0,1.1636585,9.573636,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",star
Red (Taylor's Version),Red (TV),0.777,0.408,3.3871719457013576,1.2923076923076924,0.4,-0.9881,"loving, burning, forgetting, missing, losing",False,False,2,4.572079,6.1454167,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",star
Treacherous (Taylor's Version),Red (TV),0.593,0.299,1.0012709030100346,1.2192307692307693,0.39615384615384613,-1.0604,"follow, slope, echoed, path, sleepless",False,False,1,0.5111453,6.600713,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),star
I Knew You Were Trouble (Taylor's Version),Red (TV),0.557,0.767,1.2361134113411332,1.183168316831683,0.2747524752475248,-0.6716,"walked, flew, shame, drowning, lyin",False,False,3,-0.85595685,8.553798,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",star
All Too Well (Taylor's Version),Red (TV),0.528,0.132,1.9038370118845513,1.2129032258064516,0.432258064516129,-0.12130000000000007,"remember, bout, scarf, maybe, rare",False,False,4,1.7205389,5.8914785,valence,Standard Pop,Radio-Ready (Mid-Range Baseline Production),star
